Otu0499,Basidiomycota,Gjaerumia minor,Gjaerumia minor (99.55),SH1186349.08FU
Otu0507,Ascomycota,Blumeria graminis,Blumeria graminis (100),SH1159375.08FU
Otu0516,Ascomycota,Bipolaris cynodontis,Bipolaris peregianensis (100),SH1157992.08FU
OTU,Phylum,UNITE species identification,UNITE species hypotheses (%),Short ID
Otu0588,Ascomycota,Devriesia sp,Devriesia (100),SH1231801.08FU
Otu0601,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (95.86),SH1234026.08FU
Otu0612,Ascomycota,Dendryphion europaeum,Dendryphion europaeum (100),SH1191756.08FU
Otu0615,Ascomycota,Stemphylium vesicarium,Stemphylium vesicarium (100),SH1157993.08FU
Otu0645,Ascomycota,Mycosphaerella ellipsoidea,Dothistroma pini (100),SH1194045.08FU
Otu0657,Ascomycota,Botrytis caroliniana,Botrytis caroliniana (97.95),SH1189120.08FU
Otu0661,Ascomycota,Eutypa maura,Diatrypaceae (100),SH1190467.08FU
Otu0664,Ascomycota,Trichothecium crotocinigenum,Trichothecium crotocinigenum (98.31),SH1181149.08FU
Otu0688,Basidiomycota,Typhula sp,Typhula (98.67),SH1238811.08FU
Otu0700,Ascomycota,Golovinomyces sordidus,Golovinomyces leucheriae (100),SH1210305.08FU
Otu0734,Ascomycota,Ceratocystidaceae sp,Thielaviopsis cerberus (100),SH1227619.08FU
Otu0736,Ascomycota,Pilidium concavum,Pilidium concavum (100),SH1213824.08FU
Otu0757,Ascomycota,Taphrina carpini,Taphrina carpini (100),SH1153417.08FU
Otu0760,Ascomycota,Pyrenophora teres,Pleosporaceae (100),SH1192922.08FU
Otu0826,Ascomycota,Taphrina unclassified,Taphrina inositophila (95.50),SH1153418.08FU
Otu0842,Basidiomycota,Melampsora epitea,Melampsora epitea (100),SH1190669.08FU
Otu0877,Ascomycota,Stagonosporopsis sp,Didymella exigua (98.72),SH1174007.08FU
Otu0907,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (100),SH1234026.08FU
Otu0942,Ascomycota,Devriesia thermodurans,,
Otu0983,Basidiomycota,Thecaphora melandrii,Thecaphora saponariae (100),SH1142764.08FU
Otu0989,Ascomycota,Venturia hystrioides,Fusicladium fagi (98.62),SH1222281.08FU
Otu1117,Ascomycota,Ascochyta medicaginicola,Pleosporales (100),SH1213830.08FU
Otu1125,Ascomycota,Edenia gomezpompae,Pezizomycotina (100),SH1146626.08FU
Otu1141,Basidiomycota,Ustilago hordei,Ustilago hordei (97.26),SH1145429.08FU
Otu1204,Ascomycota,Gibellulopsis nigrescens,Gibellulopsis piscis (98.24),SH1234027.08FU
Otu1206,Ascomycota,Neofusicoccum parvum,Neofusicoccum mangiferae (99.35),SH1143963.08FU
Otu1257,Ascomycota,Phaeoacremonium parasiticum,Phaeoacremonium rubrigenum (100),SH1196092.08FU
Otu1281,Ascomycota,Lectera colletotrichoides,Lectera longa (100),SH1234028.08FU
Otu1284,Basidiomycota,Moesziomyces aphidis,Moesziomyces parantarcticus (100),SH1145427.08FU
Otu1321,Ascomycota,Rhexocercosporidium panacis,Rhynchosporium commune (98.64),SH1173280.08FU
Otu1330,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (100),SH1234026.08FU
Otu1338,Ascomycota,Glomerella acutata,Colletotrichum acerbum (98.69),SH1171875.08FU
Otu1400,Ascomycota,Hortaea werneckii,Hortaea werneckii (100),SH1154533.08FU
Otu1431,Ascomycota,Sclerotinia sclerotiorum,Botrytis caroliniana (100),SH1189120.08FU
Otu1437,Basidiomycota,Meira geulakonigii,Meira geulakonigii (99.56),SH1237725.08FU
Otu1524,Ascomycota,Clonostachys rosea,Clonostachys rosea (90.91),SH1155535.08FU
Otu1531,Ascomycota,Bipolaris sorokiniana,Bipolaris peregianensis (100),SH1157992.08FU
Otu1577,Ascomycota,Clonostachys rosea,Clonostachys rosea (100),SH1155535.08FU
OTU,Phylum,UNITE species identification,UNITE species hypotheses (%),Short ID
Otu1694,Ascomycota,Gibberella tricincta,Gibberella tricincta (100),SH1173588.08FU
Otu1709,Ascomycota,Botrytis caroliniana,Botrytis caroliniana (100),SH1189120.08FU
Otu1713,Ascomycota,Curvularia americana,Curvularia lunata (100),SH1157991.08FU
Otu1731,Ascomycota,Rhexocercosporidium panacis,Rhynchosporium commune (97.26),SH1173280.08FU
Otu1756,Ascomycota,Clonostachys rosea,Clonostachys rosea (97.58),SH1155535.08FU
Otu1761,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (100),SH1234026.08FU
Otu1781,Ascomycota,Erysiphe arcuata,Erysiphe arcuata (99.45),SH1184259.08FU
Otu1821,Ascomycota,Leptosphaeria sp,Paraphoma radicina (100),SH1193181.08FU
Otu1841,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (99.31),SH1234026.08FU
Otu1866,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (97.63),SH1234026.08FU
Otu1875,Ascomycota,Clonostachys rosea,Clonostachys rosea (100),SH1155535.08FU
Otu1881,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (98.19),SH1234026.08FU
Otu1896,Ascomycota,Erysiphaceae unclassified,Erysiphe (100),SH1184255.08FU
Otu1906,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (99.31),SH1234026.08FU
Otu1909,Ascomycota,Leptosphaeria sp,Paraphoma radicina (98),SH1193181.08FU
Otu1927,Ascomycota,Pyrenophora avenae,Pleosporaceae (100),SH1192921.08FU
Otu1930,Ascomycota,Plectosphaerella cucumerina,Acremonium furcatum (99.42),SH1234029.08FU
Otu2003,Ascomycota,Botrytis caroliniana,Botrytis caroliniana (96.25),SH1189120.08FU
Otu2023,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (100),SH1234026.08FU
Otu2033,Ascomycota,Botrytis caroliniana,Botrytis caroliniana (100),SH1189120.08FU
Otu2059,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (97.63),SH1234026.08FU
Otu2086,Ascomycota,Plectosphaerella unclassified,Acremonium nepalense (99.41),SH1234026.08FU
Otu2119,Ascomycota,Leptosphaeria unclassified,Paraphoma radicina (100),SH1193181.08FU
Otu2135,Ascomycota,Glomerella acutata,Colletotrichum acerbum (98.66),SH1171875.08FU
Otu2146,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (99.32),SH1234026.08FU
Otu2150,Ascomycota,Glomerella acutata,Colletotrichum acerbum (98..08),SH1171875.08FU
Otu2197,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (98.22),SH1234026.08FU
Otu2226,Ascomycota,Ramularia eucalypti,Ramularia cynarae (97.87),SH1194043.08FU
Otu2233,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense,SH1234026.08FU
Otu2240,Ascomycota,Gibberella unclassified,Gibberella fujikuroi (98.65),SH1212030.08FU
Otu2314,Ascomycota,Gibellulopsis nigrescens,Gibellulopsis piscis (95.88),SH1234027.08FU
Otu2360,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (99.35),SH1234026.08FU
Otu2365,Ascomycota,Taphrina mirabilis,Taphrina pruni-subcordatae (99.53),SH1153416.08FU
Otu2369,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (97.63),SH1234026.08FU
Otu2382,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (98.22),SH1234026.08FU
Otu2384,Ascomycota,Gibellulopsis nigrescens,Gibellulopsis piscis (100),SH1234027.08FU
Otu2407,Ascomycota,Ramichloridium indicum,Ramichloridium indicum (100),SH1177266.08FU
Otu2423,Ascomycota,Lepteutypa fuckelii,Lepteutypa fuckelii (92.40),SH1184890.08FU
Otu2454,Ascomycota,Plectosphaerella cucumerina,Acremonium nepalense (97.63),SH1234026.08FU
OTU,Phylum,UNITE species identification,UNITE species hypotheses (%),Short ID
Otu2490,Basidiomycota,Urocystis agropyri,Urocystis agropyri (98.85),SH1177340.08FU
Otu2527,Ascomycota,Leptosphaeria sp,,
